director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined
Martin Campbell,Nicholas Lea,Scott Glenn,English,USA,Action Adventure Drama Thriller,vertical limit,Martin Campbell Nicholas Lea Scott Glenn Action Adventure Drama Thriller vertical limit
Mike Nichols,Philip Seymour Hoffman,Tom Hanks,English,USA,Biography Comedy Drama History,charlie wilson's war,Mike Nichols Philip Seymour Hoffman Tom Hanks Biography Comedy Drama History charlie wilson's war
Bibo Bergeron,Robert De Niro,Martin Scorsese,English,USA,Adventure Animation Comedy Family,shark tale,Bibo Bergeron Robert De Niro Martin Scorsese Adventure Animation Comedy Family shark tale
Bill Condon,Loretta Devine,Jennifer Hudson,English,USA,Drama Music Musical,dreamgirls,Bill Condon Loretta Devine Jennifer Hudson Drama Music Musical dreamgirls
unknown,Adam Arkin,Brent Sexton,English,USA,Crime Drama Mystery,life            ,unknown Adam Arkin Brent Sexton Crime Drama Mystery life            
F. Gary Gray,Dwayne Johnson,Christina Milian,English,USA,Comedy Crime Music,be cool,F. Gary Gray Dwayne Johnson Christina Milian Comedy Crime Music be cool
Steven Spielberg,Ayelet Zurer,Moritz Bleibtreu,English,France,Drama History Thriller,munich,Steven Spielberg Ayelet Zurer Moritz Bleibtreu Drama History Thriller munich
Antoine Fuqua,Bruce Willis,Tom Skerritt,English,USA,Action Drama Thriller War,tears of the sun,Antoine Fuqua Bruce Willis Tom Skerritt Action Drama Thriller War tears of the sun
Robert Luketic,Tom Selleck,Lisa Ann Walter,English,USA,Action Comedy Romance Thriller,killers,Robert Luketic Tom Selleck Lisa Ann Walter Action Comedy Romance Thriller killers
Guy Ritchie,Henry Cavill,Elizabeth Debicki,English,USA,Action Adventure Comedy,the man from u.n.c.l.e.,Guy Ritchie Henry Cavill Elizabeth Debicki Action Adventure Comedy the man from u.n.c.l.e.
James L. Brooks,Adam Sandler,Paz Vega,English,USA,Comedy Drama Romance,spanglish,James L. Brooks Adam Sandler Paz Vega Comedy Drama Romance spanglish
Gil Kenan,Steve Buscemi,Jon Heder,English,USA,Animation Comedy Family Fantasy Mystery,monster house,Gil Kenan Steve Buscemi Jon Heder Animation Comedy Family Fantasy Mystery monster house
Barry Levinson,Bruce Willis,Brían F. O'Byrne,English,USA,Comedy Crime Drama Romance,bandits,Barry Levinson Bruce Willis Brían F. O'Byrne Comedy Crime Drama Romance bandits
Jerry Zucker,Julia Ormond,Ben Cross,English,USA,Action Adventure Romance Thriller,first knight,Jerry Zucker Julia Ormond Ben Cross Action Adventure Romance Thriller first knight
Andy Tennant,Bai Ling,Geoffrey Palmer,English,USA,Drama History Romance,anna and the king,Andy Tennant Bai Ling Geoffrey Palmer Drama History Romance anna and the king
Tarsem Singh,Henry Cavill,Daniel Sharman,English,USA,Action Drama Fantasy Romance,immortals,Tarsem Singh Henry Cavill Daniel Sharman Action Drama Fantasy Romance immortals
Florent-Emilio Siri,Jimmy Bennett,Bruce Willis,English,USA,Action Crime Drama Mystery Thriller,hostage,Florent-Emilio Siri Jimmy Bennett Bruce Willis Action Crime Drama Mystery Thriller hostage
Don Bluth,Matt Damon,Janeane Garofalo,English,USA,Action Adventure Animation Family Sci-Fi,titan a.e.,Don Bluth Matt Damon Janeane Garofalo Action Adventure Animation Family Sci-Fi titan a.e.
Ron Shelton,Harrison Ford,Bruce Greenwood,English,USA,Action Comedy Crime Thriller,hollywood homicide,Ron Shelton Harrison Ford Bruce Greenwood Action Comedy Crime Thriller hollywood homicide
Paul W.S. Anderson,Connie Nielsen,Sean Pertwee,English,UK,Action Drama Sci-Fi,soldier,Paul W.S. Anderson Connie Nielsen Sean Pertwee Action Drama Sci-Fi soldier
David Pastor,Christopher Meloni,Kiernan Shipka,English,USA,Drama Horror Sci-Fi Thriller,carriers,David Pastor Christopher Meloni Kiernan Shipka Drama Horror Sci-Fi Thriller carriers
Henry Selick,Brendan Fraser,Bridget Fonda,English,USA,Animation Comedy Fantasy,monkeybone,Henry Selick Brendan Fraser Bridget Fonda Animation Comedy Fantasy monkeybone
John Moore,Dennis Quaid,Tony Curran,English,USA,Action Adventure Drama Thriller,flight of the phoenix,John Moore Dennis Quaid Tony Curran Action Adventure Drama Thriller flight of the phoenix
M. Night Shyamalan,Robin Wright,Bruce Willis,English,USA,Drama Mystery Sci-Fi Thriller,unbreakable,M. Night Shyamalan Robin Wright Bruce Willis Drama Mystery Sci-Fi Thriller unbreakable
Kyle Balda,Steve Carell,Jon Hamm,English,USA,Action Animation Comedy Family Sci-Fi,minions,Kyle Balda Steve Carell Jon Hamm Action Animation Comedy Family Sci-Fi minions
Zack Snyder,Jon Hamm,Abbie Cornish,English,USA,Action Fantasy,sucker punch,Zack Snyder Jon Hamm Abbie Cornish Action Fantasy sucker punch
Brian De Palma,Nicolas Cage,Mike Starr,English,USA,Crime Mystery Thriller,snake eyes,Brian De Palma Nicolas Cage Mike Starr Crime Mystery Thriller snake eyes
Barry Levinson,Peter Coyote,James Pickens Jr.,English,USA,Drama Mystery Sci-Fi Thriller,sphere,Barry Levinson Peter Coyote James Pickens Jr. Drama Mystery Sci-Fi Thriller sphere
Clay Kaytis,Peter Dinklage,Josh Gad,English,USA,Action Animation Comedy Family,the angry birds movie,Clay Kaytis Peter Dinklage Josh Gad Action Animation Comedy Family the angry birds movie
Andy Tennant,Matthew McConaughey,Ray Winstone,English,USA,Action Adventure Comedy Romance Thriller,fool's gold,Andy Tennant Matthew McConaughey Ray Winstone Action Adventure Comedy Romance Thriller fool's gold
Judd Apatow,Adam Sandler,RZA,English,USA,Comedy Drama,funny people,Judd Apatow Adam Sandler RZA Comedy Drama funny people
